t,Goal Position,Actual Position,Actual Velocity,Velocity Limit,commend_time
1.2635619640350342,1625,1755,-40,-50,0.1311643123626709
1.2796359062194824,1625,1747,-39,-50,0.1311643123626709
1.2955446243286133,1625,1739,-37,-50,0.1311643123626709
1.3113617897033691,1625,1732,-35,-50,0.1311643123626709
1.327467679977417,1625,1726,-32,-50,0.1311643123626709
1.3434348106384277,1625,1718,-30,-50,0.1311643123626709
1.359442949295044,1625,1709,-29,-50,0.1311643123626709
1.3755106925964355,1625,1700,-30,-50,0.1311643123626709
1.3914737701416016,1625,1691,-32,-50,0.1311643123626709
1.4074187278747559,1625,1684,-32,-50,0.1311643123626709
1.4234209060668945,1625,1679,-31,-50,0.1311643123626709
1.439438819885254,1625,1673,-28,-50,0.1311643123626709
1.45548677444458,1625,1667,-26,-50,0.1311643123626709
1.4715006351470947,1625,1662,-24,-50,0.1311643123626709
1.4874517917633057,1625,1658,-22,-50,0.1311643123626709
1.5034146308898926,1625,1654,-21,-50,0.1311643123626709
1.5194427967071533,1625,1650,-19,-50,0.1311643123626709
1.5354056358337402,1625,1646,-17,-50,0.1311643123626709
1.551438808441162,1625,1642,-16,-50,0.1311643123626709
1.5674748420715332,1625,1639,-15,-50,0.1311643123626709
1.5834460258483887,1625,1636,-14,-50,0.1311643123626709
1.5995228290557861,1625,1633,-13,-50,0.1311643123626709
1.6155977249145508,1625,1631,-12,-50,0.1311643123626709
1.6315855979919434,1625,1629,-11,-50,0.1311643123626709
1.6474099159240723,1625,1627,-10,-50,0.1311643123626709
1.663482904434204,1625,1626,-9,-50,0.1311643123626709
